epoch,train_loss,train_accuracy,test_loss,test_accuracy,epoch_seconds
1,0.3708707778193734,0.8810181818181818,0.2865887356042862,0.9052,76.01982045173645
2,0.1227667476621541,0.9629090909090909,0.2834027957201004,0.912,75.5155816078186
3,0.09030586750615727,0.9725818181818182,0.3061123806476593,0.9106,75.52167272567749
4,0.06557750731110573,0.9795636363636364,0.31324771149158476,0.9104,75.67061138153076
5,0.05417171527689153,0.9826545454545454,0.29314553747177124,0.9162,75.10683298110962
6,0.05297472809282216,0.9840727272727273,0.3371517587900162,0.9123,75.3746817111969
7,0.041386177397858014,0.9871636363636364,0.39437421882152557,0.9008,75.48874402046204
8,0.03950382380715825,0.9880363636363636,0.43194300682544706,0.8975,75.26265120506287
9,0.039679084770991045,0.9871272727272727,0.31466515016555785,0.9202,75.4050509929657
10,0.0382548470063643,0.9877454545454546,0.34746750235557555,0.9122,75.51060056686401
